price,manufacturer_country,age,mileage,category,leather_interior,fuel_type,engine_volume,turbo,gear_box_type,drive_wheels,steering_side,doors,airbags
13328,Japan,11,186005,Jeep,Yes,Hybrid,3.5,No,Automatic,4X4,Left,4-5,12
16621,USA,10,192000,Jeep,No,Petrol,3.0,No,Tiptronic,4X4,Left,4-5,8
8467,Japan,15,200000,Hatchback,No,Petrol,1.3,No,Variator,Front,Right,4-5,2
3607,USA,10,168966,Jeep,Yes,Hybrid,2.5,No,Automatic,4X4,Left,4-5,0
11726,Japan,7,91901,Hatchback,Yes,Petrol,1.3,No,Automatic,Front,Left,4-5,4
39493,South Korea,5,160931,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
1803,Japan,11,258909,Hatchback,Yes,Hybrid,1.8,No,Automatic,Front,Left,4-5,12
26657,Japan,14,128500,Jeep,Yes,Petrol,3.5,No,Automatic,4X4,Left,4-5,12
1019,Japan,8,138038,Jeep,Yes,Hybrid,3.5,No,Automatic,Front,Left,4-5,12
7683,South Korea,5,121840,Sedan,Yes,Petrol,1.8,No,Automatic,Front,Left,4-5,12
28382,South Korea,5,54317,Sedan,Yes,Petrol,1.8,No,Automatic,Front,Left,4-5,4
18826,South Korea,9,112645,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
20698,Japan,9,187000,Sedan,Yes,Plug-In Hybrid,1.8,No,Automatic,Front,Left,4-5,12
17562,Japan,4,39709,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
7840,USA,20,230000,Microbus,No,Diesel,2.0,Yes,Manual,Front,Left,2-3,0
20385,Germany,15,210000,Sedan,Yes,Diesel,2.2,Yes,Tiptronic,Rear,Left,4-5,8
14454,South Korea,10,158787,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
15681,Germany,14,180000,Goods Wagon,No,Diesel,2.0,Yes,Manual,Rear,Left,4-5,4
19444,Germany,7,175056,Jeep,Yes,Diesel,3.0,No,Automatic,4X4,Left,4-5,12
24462,USA,14,250000,Jeep,Yes,Diesel,3.0,Yes,Tiptronic,4X4,Left,4-5,10
23235,South Korea,10,162000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
7527,Japan,11,158000,Hatchback,No,Hybrid,1.3,No,Automatic,Front,Right,4-5,4
19121,South Korea,9,103490,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
24462,Japan,8,203200,Sedan,Yes,Petrol,2.4,No,Automatic,Front,Left,4-5,4
45734,South Korea,5,61057,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
20165,Germany,5,11200,Sedan,Yes,Petrol,1.4,Yes,Tiptronic,Front,Left,4-5,8
21326,South Korea,7,141000,Sedan,Yes,Hybrid,2.4,No,Tiptronic,Front,Left,4-5,12
15681,Japan,9,128000,Hatchback,No,Hybrid,1.5,No,Variator,Front,Left,4-5,8
12544,Japan,9,141500,Hatchback,No,Hybrid,1.5,No,Automatic,Front,Right,4-5,8
17249,USA,13,147000,Jeep,No,Hybrid,2.3,No,Variator,4X4,Left,4-5,8
34889,Japan,5,87768,Sedan,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
14583,France,13,132542,Sedan,No,Diesel,1.5,Yes,Manual,Front,Left,4-5,10
38500,Germany,7,87000,Jeep,Yes,Petrol,2.0,No,Tiptronic,4X4,Left,4-5,12
8781,Germany,20,260000,Coupe,No,Petrol,2.0,No,Manual,Rear,Left,2-3,0
1411,Japan,6,87112,Jeep,Yes,Petrol,1.6,No,Automatic,4X4,Left,4-5,0
23521,USA,3,22000,Sedan,No,Petrol,1.4,Yes,Automatic,Front,Left,4-5,6
16935,USA,8,83000,Sedan,No,Petrol,1.6,Yes,Tiptronic,Front,Left,4-5,8
10349,Japan,14,170000,Minivan,Yes,Petrol,2.4,No,Automatic,Front,Right,4-5,6
7213,Japan,8,312118,Jeep,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,0
5331,Germany,17,130000,Sedan,No,Petrol,1.6,No,Tiptronic,Front,Left,4-5,6
20526,South Korea,8,200279,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
34657,South Korea,7,154672,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
36564,South Korea,5,110969,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
5488,Japan,20,210000,Hatchback,No,Petrol,1.5,No,Manual,Front,Right,4-5,3
30063,South Korea,6,148105,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
15800,USA,10,255456,Jeep,Yes,Diesel,2.2,No,Automatic,Front,Left,4-5,4
43952,South Korea,4,111643,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
14740,Japan,10,288000,Hatchback,No,Hybrid,1.8,No,Automatic,Front,Left,4-5,8
42337,USA,5,75000,Cabriolet,Yes,Petrol,2.3,Yes,Tiptronic,Rear,Left,2-3,6
3763,Germany,7,94362,Jeep,Yes,Petrol,3.5,No,Automatic,Rear,Left,4-5,12
18189,Japan,9,175000,Sedan,No,Petrol,1.8,No,Automatic,Front,Left,4-5,8
5645,Japan,11,264877,Jeep,Yes,Hybrid,3.3,No,Automatic,4X4,Left,4-5,12
7527,Japan,2,27656,Sedan,Yes,Petrol,1.5,No,Automatic,Front,Left,4-5,12
21953,Japan,7,16000,Sedan,No,Hybrid,1.4,No,Automatic,4X4,Right,4-5,10
21953,Japan,9,195053,Sedan,No,Petrol,2.5,No,Automatic,Front,Left,4-5,0
19121,South Korea,9,121362,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
36065,South Korea,7,69191,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
8781,Japan,9,83000,Hatchback,Yes,Hybrid,1.3,No,Tiptronic,Front,Right,4-5,12
6247,USA,11,40772,Sedan,Yes,Petrol,1.8,No,Automatic,Front,Left,4-5,4
16289,USA,9,172000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
6981,South Korea,13,103246,Sedan,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
27284,South Korea,5,105394,Sedan,No,Petrol,2.0,No,Tiptronic,Front,Left,4-5,12
32929,Germany,8,160000,Coupe,Yes,Petrol,2.0,Yes,Automatic,Rear,Left,2-3,12
15053,Germany,17,214000,Sedan,Yes,Petrol,3.2,No,Tiptronic,Rear,Left,4-5,8
15458,South Korea,12,123346,Coupe,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
2901,USA,7,80827,Sedan,Yes,Petrol,1.4,No,Automatic,Front,Left,4-5,12
26657,Germany,17,300000,Microbus,No,Diesel,2.2,Yes,Manual,Rear,Left,4-5,1
10663,Japan,14,318400,Hatchback,No,Petrol,1.5,No,Automatic,Front,Left,4-5,6
12858,USA,6,91200,Sedan,No,Petrol,2.0,No,Automatic,Front,Left,4-5,10
1019,Germany,8,137802,Jeep,Yes,Diesel,3.0,No,Automatic,4X4,Left,4-5,12
12858,South Korea,5,107000,Hatchback,No,Petrol,1.2,No,Manual,Front,Left,4-5,2
15000,Germany,13,210408,Sedan,Yes,Cng,3.0,No,Tiptronic,Rear,Left,4-5,12
44752,South Korea,5,86000,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
17158,South Korea,11,122740,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
12231,Japan,16,144000,Jeep,No,Lpg,2.4,No,Tiptronic,4X4,Right,4-5,16
25591,,8,85704,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
14897,South Korea,11,58962,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
23521,Japan,8,90000,Sedan,Yes,Hybrid,2.5,No,Tiptronic,Front,Left,4-5,12
1019,Japan,12,318358,Sedan,Yes,Hybrid,3.3,No,Automatic,4X4,Left,4-5,12
16935,USA,6,71454,Sedan,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,0
11604,South Korea,7,346470,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
9408,Germany,22,111111,Sedan,No,Diesel,2.2,Yes,Manual,Rear,Left,4-5,4
13328,South Korea,13,74444,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
17876,Japan,9,143000,Minivan,No,Petrol,2.0,No,Tiptronic,Front,Right,4-5,12
20071,Japan,13,135000,Jeep,No,Petrol,2.4,No,Automatic,4X4,Left,4-5,8
22894,South Korea,10,124444,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
2901,Japan,9,146403,Sedan,Yes,Hybrid,1.5,No,Automatic,Front,Left,4-5,0
18660,South Korea,8,130000,Sedan,Yes,Petrol,2.4,No,Tiptronic,Front,Left,4-5,6
22580,Germany,4,50930,Sedan,Yes,Petrol,2.0,No,Automatic,Rear,Left,4-5,12
11604,South Korea,7,264872,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
5488,,8,138958,Jeep,Yes,Petrol,2.4,No,Automatic,Front,Left,4-5,12
18817,Japan,3,35058,Sedan,Yes,Hybrid,2.5,No,Automatic,Front,Left,4-5,12
21169,Japan,6,33330,Jeep,No,Petrol,1.8,No,Automatic,4X4,Left,4-5,8
